a,b,c,x1,x2,x3,x4
5.053257719793924,9.036850604160996,-5.137645096944052,0.45351240769227535,0,-2.2418341409700164,0
-4.884787499738841,-6.385878529349663,-0.4282900493771855,-1.236384012470862,0,-0.07091513405108511,0
8.764848565928485,0.9934425542465952,-3.561201790930541,0.5832629531997259,0,-0.6966069028155122,0
5.032037840381102,-5.24402312036006,1.4384291600708483,0.5210635617917873,0.1197788225413713,0.5210635617917873,-0.1197788225413713
7.169575179244934,5.80010395904241,8.57175314308336,-0.40449425621709223,1.0158532199754813,-0.40449425621709223,-1.0158532199754813
1.1563870315392144,9.89211612027686,0.9736978943538617,-0.09959116861452112,0,-8.454738697148427,0
3.048731209946215,4.166924581181268,4.002203398283546,-0.6833866769866505,0.9196339393557738,-0.6833866769866505,-0.9196339393557738
-9.573250483607886,2.979561142229567,-4.915851045870864,0.15561909444088082,-0.6994864769267862,0.15561909444088082,0.6994864769267862
-6.4975123009693,-0.46610827691118395,4.2436237236368,-0.844819184783064,0,0.7730827639314021,0
1.1579983161695928,-7.159211586216947,-5.8959296838781405,6.918342270779309,0,-0.7359398559830037,0
8.054535536408899,8.222280227518134,5.418125968555081,-0.5104130579814925,0.6419958215461808,-0.5104130579814925,-0.6419958215461808
-0.8570305227620345,-0.28158199851045573,-1.663041816686361,-0.1642776955031744,-1.3832868839381585,-0.1642776955031744,1.3832868839381585
-7.217263504500078,8.309611526443302,-8.473156067452885,0.575676052375123,-0.9179375656999852,0.575676052375123,0.9179375656999852
-5.6415047247961825,-2.7390354523288636,-8.073763228127076,-0.24275752533627631,-1.171411655414687,-0.24275752533627631,1.171411655414687
7.560820523816513,5.7164345035232245,3.318102968374978,-0.3780300355970962,0.5440111856957239,-0.3780300355970962,-0.5440111856957239
7.258819382542452,-7.021501655119671,8.762639560719627,0.4836531455794635,0.986534890652918,0.4836531455794635,-0.986534890652918
8.062078249908367,-9.621564871563956,-6.643951766240788,1.6830740743313852,0,-0.4896392584793668,0
-2.698685013120315,2.1767810629293383,5.521911199851331,-1.0829001905654352,0,1.8895082431341441,0
-5.9888081423651585,9.66340212867761,7.76262959977754,-0.588595737879451,0,2.2021725797084906,0
3.2653096461496407,7.446452396831006,2.984140504022081,-0.5187483371497372,0,-1.76172524844471,0
-2.1486064759419365,-2.1100950134343925,-4.857394696523636,-0.49103803722581146,-1.4211264122654297,-0.49103803722581146,1.4211264122654297
7.050575072239866,0.9119616532166503,4.913990218327459,-0.06467285603463076,0.8323343433813697,-0.06467285603463076,-0.8323343433813697
-2.1715911093968128,-1.6883123874936423,-9.000379681098533,-0.38872704446708495,-1.9983725238906642,-0.38872704446708495,1.9983725238906642
-3.2132039775897265,-2.9743003698702974,-0.26820398333850193,-0.8244009465864776,0,-0.10124846459760979,0
-2.83760044924467,-9.096982346414075,-0.7166757005818862,-3.125052354243819,0,-0.080819123833923,0
-9.339593315509852,6.914971006626512,6.76830796898442,-0.5581004109086573,0,1.2984935707631793,0
4.067561610251836,-6.185934272535569,-2.4195349662290777,1.8434691510658296,0,-0.32267245140561795,0
-9.412976793444873,5.131843181062923,-9.42402170160825,0.272594063157401,-0.9627387221422073,0.272594063157401,0.9627387221422073
2.1826216571851926,5.961108609367152,-7.747031986736623,0.9612667874810923,0,-3.692435787725902,0
-1.407030469179361,6.060955351944269,2.0422063138100004,-0.31404877966362066,0,4.621670742874746,0
-5.535213526487064,2.116795558331532,-6.196100933644669,0.19121173448885548,-1.0405935736238028,0.19121173448885548,1.0405935736238028
